block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
-1 1 15.2 Go 1 0 800 800 2 0 0 1 1 nan nan 752.3 752.3
-1 2 18.7 Go 1 0 800 800 1 1 1 0 0 702.2 718.3 nan nan
-1 3 21.9 Go 1 0 800 800 1 1 1 0 0 794.3 794.3 nan nan
-1 4 25.1 Go 1 0 800 800 1 1 1 0 0 794.3 794.3 nan nan
-1 5 28.6 Go 1 0 800 800 2 0 0 1 1 nan nan 758.9 758.9
-1 6 31.8 Go 1 0 800 800 1 1 1 0 0 775.5 775.5 nan nan
-1 7 35.2 Go 1 0 800 800 1 1 1 0 0 763.8 763.8 nan nan
-1 8 38.6 Go 1 0 800 800 1 1 1 0 0 790.2 790.2 nan nan
-1 9 41.6 Go 1 0 800 800 1 1 1 0 0 779.7 779.7 nan nan
-1 10 45.1 Go 1 0 800 800 1 1 1 0 0 798.5 782.3 nan nan
-1 11 48.5 Go 1 0 800 800 2 0 0 1 1 nan nan 757.4 773.0
-1 12 51.5 Go 1 0 800 800 1 1 1 0 0 781.1 781.1 nan nan
-1 13 54.6 Go 1 0 800 800 2 0 0 1 1 nan nan 785.3 785.3
-1 14 58.1 Go 1 0 800 800 1 1 1 0 0 771.7 771.7 nan nan
-1 15 61.2 Go 1 0 800 800 2 0 0 1 1 nan nan 790.2 806.1
-1 16 64.3 Go 1 0 800 800 2 0 0 1 1 nan nan 781.8 781.8
-1 17 67.6 Go 1 0 800 800 2 0 0 1 1 nan nan 778.8 778.8
-1 18 71.1 Go 1 0 800 800 1 1 1 0 0 785.4 785.4 nan nan
-1 19 74.4 Go 1 0 800 800 2 0 0 1 1 nan nan 790.6 790.6
-1 20 77.8 Go 1 0 800 800 2 0 0 1 1 nan nan 813.4 813.4
-1 21 80.8 Go 1 0 800 800 1 1 1 0 0 771.5 771.5 nan nan
-1 22 83.9 Go 1 0 800 800 2 0 0 1 1 nan nan 778.0 778.0
-1 23 87.1 Go 1 0 800 800 2 0 0 1 1 nan nan 790.6 790.6
-1 24 90.2 Go 1 0 800 800 1 1 1 0 0 812.6 812.6 nan nan
