block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
-1 1 17.6 Go 1 0 0 0 2 0 0 1 1 nan nan 327.0 327.0
-1 2 21.1 Go 1 0 0 0 2 0 0 1 1 nan nan 348.5 348.5
-1 3 24.3 Go 1 0 0 0 1 1 1 0 0 341.5 341.5 nan nan
-1 4 27.6 Go 1 0 0 0 2 0 0 1 1 nan nan 330.3 330.3
-1 5 30.8 Go 1 0 0 0 1 1 1 0 0 324.2 324.2 nan nan
-1 6 34.3 Go 1 0 0 0 2 0 0 1 1 nan nan 296.6 296.6
-1 7 37.4 Go 1 0 0 0 1 1 1 0 0 295.9 295.9 nan nan
-1 8 40.9 Go 1 0 0 0 2 0 0 1 1 nan nan 351.8 335.7
-1 9 44.2 Go 1 0 0 0 2 0 0 1 1 nan nan 347.9 347.9
-1 10 47.4 Go 1 0 0 0 1 1 1 0 0 311.2 295.3 nan nan
-1 11 50.5 Go 1 0 0 0 1 1 1 0 0 334.7 334.7 nan nan
-1 12 53.5 Go 1 0 0 0 1 1 1 0 0 365.3 365.3 nan nan
-1 13 56.8 Go 1 0 0 0 2 0 0 1 1 nan nan 424.7 424.7
-1 14 60.0 Go 1 0 0 0 2 0 0 1 1 nan nan 346.3 346.3
-1 15 63.1 Go 1 0 0 0 1 1 1 0 0 312.6 312.6 nan nan
-1 16 66.3 Go 1 0 0 0 1 1 1 0 0 302.7 302.7 nan nan
-1 17 69.4 Go 1 0 0 0 2 0 0 1 1 nan nan 312.5 312.5
-1 18 72.9 Go 1 0 0 0 1 1 1 0 0 288.3 288.3 nan nan
-1 19 76.2 Go 1 0 0 0 1 1 1 0 0 302.0 302.0 nan nan
-1 20 79.6 Go 1 0 0 0 1 1 1 0 0 304.6 304.6 nan nan
-1 21 82.8 Go 1 0 0 0 2 0 0 1 1 nan nan 346.4 346.4
-1 22 86.0 Go 1 0 0 0 2 0 0 1 1 nan nan 350.6 350.6
-1 23 89.2 Go 1 0 0 0 2 0 0 1 1 nan nan 341.2 357.4
-1 24 92.5 Go 1 0 0 0 2 0 0 1 1 nan nan 352.0 352.0
-1 25 95.8 Go 1 0 0 0 1 1 1 0 0 382.0 382.0 nan nan
-1 26 98.8 Go 1 0 0 0 2 0 0 1 1 nan nan 383.3 383.3
-1 27 101.9 Go 1 0 0 0 2 0 0 1 1 nan nan 311.6 311.6
-1 28 105.0 Go 1 0 0 0 2 0 0 1 1 nan nan 318.0 318.0
-1 29 108.3 Go 1 0 0 0 1 1 1 0 0 277.3 277.3 nan nan
-1 30 111.7 Go 1 0 0 0 1 1 1 0 0 297.2 297.2 nan nan
-1 31 115.1 Go 1 0 0 0 2 0 0 1 1 nan nan 321.6 337.6
-1 32 118.3 Go 1 0 0 0 2 0 0 1 1 nan nan 326.5 326.5
-1 33 121.4 Go 1 0 0 0 1 1 1 0 0 295.2 295.2 nan nan
-1 34 124.6 Go 1 0 0 0 1 1 1 0 0 329.6 329.6 nan nan
-1 35 127.9 Go 1 0 0 0 1 1 1 0 0 303.1 303.1 nan nan
-1 36 131.3 Go 1 0 0 0 1 1 1 0 0 305.9 305.9 nan nan
0 37 155.9 Go 1 0 0 0 1 1 1 0 0 295.0 311.1 nan nan
0 38 159.0 Go 1 0 0 0 1 1 1 0 0 376.4 376.4 nan nan
0 39 162.3 Go 1 0 0 0 1 1 1 0 0 310.7 310.7 nan nan
0 40 165.4 Stop-left 3 250 0 0 1 1 1 0 0 326.0 326.0 nan nan
0 41 168.6 Go 1 0 0 0 2 0 0 1 1 nan nan 423.9 423.9
0 42 171.7 Stop-left 3 215 0 0 1 1 1 0 0 557.2 524.9 nan nan
0 43 175.2 Stop-all 2 250 0 0 1 0 0 0 0 nan nan nan nan
0 44 178.3 Go 1 0 0 0 2 0 0 1 1 nan nan 448.5 448.5
0 45 181.3 Go 1 0 0 0 2 0 0 1 1 nan nan 461.5 461.5
0 46 184.4 Go 1 0 0 0 1 1 1 0 0 470.8 470.8 nan nan
0 47 187.7 Go 1 0 0 0 1 1 1 0 0 378.0 378.0 nan nan
0 48 191.1 Go 1 0 0 0 2 0 0 1 1 nan nan 416.0 399.4
0 49 194.5 Go 1 0 0 0 1 1 1 0 0 316.3 316.3 nan nan
0 50 197.9 Go 1 0 0 0 2 0 0 1 1 nan nan 346.5 346.5
0 51 201.2 Go 1 0 0 0 2 0 0 1 1 nan nan 318.6 318.6
0 52 204.6 Stop-left 3 180 0 0 1 1 1 0 0 302.2 302.2 nan nan
0 53 207.9 Go 1 0 0 0 2 0 0 1 1 nan nan 463.1 463.1
0 54 211.0 Go 1 0 0 0 1 1 1 0 0 342.7 342.7 nan nan
0 55 214.4 Stop-right 4 250 0 0 2 0 0 1 1 nan nan 332.0 347.7
0 56 217.6 Go 1 0 0 0 2 0 0 1 1 nan nan 355.3 355.3
0 57 221.1 Stop-all 2 285 0 0 1 1 1 0 0 284.0 284.0 nan nan
0 58 224.5 Stop-right 4 215 0 0 1 1 0 0 0 563.8 nan nan nan
0 59 227.6 Stop-left 3 145 0 0 1 0 1 0 0 nan 538.9 nan nan
0 60 230.8 Go 1 0 0 0 2 0 0 1 1 nan nan 345.6 345.6
0 61 234.1 Go 1 0 0 0 2 0 0 1 1 nan nan 331.9 331.9
0 62 237.5 Stop-all 2 250 0 0 2 0 0 1 1 nan nan 321.1 321.1
0 63 240.7 Go 1 0 0 0 1 1 1 0 0 497.7 513.9 nan nan
0 64 243.8 Go 1 0 0 0 2 0 0 1 1 nan nan 436.4 468.3
0 65 247.2 Go 1 0 0 0 1 1 1 0 0 388.7 388.7 nan nan
0 66 250.3 Go 1 0 0 0 1 1 1 0 0 486.4 486.4 nan nan
0 67 253.6 Stop-right 4 250 0 0 1 1 1 0 0 368.8 368.8 nan nan
0 68 256.7 Go 1 0 0 0 2 0 0 1 1 nan nan 480.6 496.7
0 69 260.1 Stop-all 2 215 0 0 2 0 0 0 0 nan nan nan nan
0 70 263.5 Stop-right 4 215 0 0 2 0 0 1 0 nan nan 577.3 nan
0 71 266.6 Go 1 0 0 0 2 0 0 1 1 nan nan 519.2 519.2
0 72 269.9 Go 1 0 0 0 2 0 0 1 1 nan nan 420.6 436.6
1 73 281.5 Go 1 0 0 0 2 0 0 1 1 nan nan 334.4 334.4
1 74 284.6 Go 1 0 0 0 2 0 0 1 1 nan nan 321.3 321.3
1 75 287.7 Go 1 0 0 0 1 1 1 0 0 348.8 348.8 nan nan
1 76 291.1 Stop-right 4 250 0 0 1 1 1 0 0 398.6 398.6 nan nan
1 77 294.5 Go 1 0 0 0 1 1 1 0 0 459.5 459.5 nan nan
1 78 298.0 Go 1 0 0 0 2 0 0 1 1 nan nan 478.1 478.1
1 79 301.1 Go 1 0 0 0 2 0 0 1 1 nan nan 388.8 388.8
1 80 304.5 Go 1 0 0 0 2 0 0 1 1 nan nan 459.7 459.7
1 81 307.9 Stop-left 3 180 0 0 1 1 1 0 0 383.2 383.2 nan nan
1 82 311.3 Go 1 0 0 0 1 1 1 0 0 525.9 525.9 nan nan
1 83 314.7 Go 1 0 0 0 2 0 0 1 1 nan nan 433.6 433.6
1 84 318.1 Go 1 0 0 0 1 1 1 0 0 374.6 374.6 nan nan
1 85 321.3 Go 1 0 0 0 1 1 1 0 0 416.8 416.8 nan nan
1 86 324.5 Go 1 0 0 0 1 1 1 0 0 394.5 394.5 nan nan
1 87 327.5 Stop-all 2 250 0 0 1 1 1 0 0 358.9 375.0 nan nan
1 88 330.7 Go 1 0 0 0 1 1 1 0 0 379.0 379.0 nan nan
1 89 333.9 Stop-left 3 145 0 0 2 0 0 0 1 nan nan nan 489.3
1 90 337.0 Stop-all 2 215 0 0 1 0 0 0 0 nan nan nan nan
1 91 340.2 Go 1 0 0 0 2 0 0 1 1 nan nan 395.8 395.8
1 92 343.2 Go 1 0 0 0 2 0 0 1 1 nan nan 464.7 480.8
1 93 346.3 Go 1 0 0 0 1 1 1 0 0 432.2 432.2 nan nan
1 94 349.4 Stop-left 3 180 0 0 2 0 0 0 1 nan nan nan 515.1
1 95 352.6 Stop-left 3 215 0 0 2 0 0 0 1 nan nan nan 581.6
1 96 355.8 Stop-right 4 215 0 0 1 1 0 0 0 551.0 nan nan nan
1 97 359.3 Go 1 0 0 0 2 0 0 1 1 nan nan 484.3 484.3
1 98 362.5 Stop-all 2 250 0 0 1 0 0 0 0 nan nan nan nan
1 99 365.7 Stop-right 4 250 0 0 1 1 0 0 0 615.0 nan nan nan
1 100 369.2 Go 1 0 0 0 2 0 0 1 1 nan nan 505.1 505.1
1 101 372.4 Go 1 0 0 0 2 0 0 1 1 nan nan 463.3 463.3
1 102 375.8 Go 1 0 0 0 2 0 0 1 1 nan nan 426.5 426.5
1 103 379.1 Go 1 0 0 0 1 1 1 0 0 472.4 472.4 nan nan
1 104 382.4 Stop-all 2 285 0 0 2 0 0 0 0 nan nan nan nan
1 105 385.5 Stop-right 4 285 0 0 2 0 0 1 1 nan nan 421.1 469.3
1 106 388.7 Go 1 0 0 0 1 1 1 0 0 505.0 505.0 nan nan
1 107 392.0 Go 1 0 0 0 1 1 1 0 0 513.4 513.4 nan nan
1 108 395.4 Go 1 0 0 0 2 0 0 1 1 nan nan 474.2 474.2
2 109 400.0 Go 1 0 0 0 1 1 1 0 0 347.7 347.7 nan nan
2 110 403.3 Go 1 0 0 0 2 0 0 1 1 nan nan 404.0 404.0
2 111 406.6 Go 1 0 0 0 2 0 0 1 1 nan nan 414.8 414.8
2 112 410.1 Go 1 0 0 0 1 1 1 0 0 350.0 350.0 nan nan
2 113 413.2 Go 1 0 0 0 1 1 1 0 0 350.5 350.5 nan nan
2 114 416.7 Stop-all 2 320 0 0 2 0 0 1 1 nan nan 376.0 376.0
2 115 420.2 Stop-right 4 250 0 0 1 1 1 0 0 379.5 379.5 nan nan
2 116 423.5 Stop-right 4 215 0 0 1 1 0 0 0 617.4 nan nan nan
2 117 426.8 Go 1 0 0 0 2 0 0 1 1 nan nan 461.5 461.5
2 118 429.9 Go 1 0 0 0 2 0 0 1 1 nan nan 451.4 467.0
2 119 433.1 Go 1 0 0 0 1 1 1 0 0 471.6 487.6 nan nan
2 120 436.2 Go 1 0 0 0 2 0 0 1 1 nan nan 541.5 541.5
2 121 439.7 Go 1 0 0 0 1 1 1 0 0 511.1 511.1 nan nan
2 122 443.0 Stop-all 2 285 0 0 1 0 0 0 0 nan nan nan nan
2 123 446.0 Go 1 0 0 0 2 0 0 1 1 nan nan 447.5 463.5
2 124 449.4 Stop-left 3 250 0 0 2 0 0 0 1 nan nan nan 634.6
2 125 452.7 Stop-left 3 285 0 0 2 0 0 0 1 nan nan nan 650.8
2 126 455.7 Go 1 0 0 0 2 0 0 1 1 nan nan 547.5 547.5
2 127 459.2 Go 1 0 0 0 2 0 0 1 1 nan nan 521.9 521.9
2 128 462.4 Stop-right 4 250 0 0 1 1 0 0 0 647.1 nan nan nan
2 129 465.7 Stop-all 2 320 0 0 1 0 0 0 0 nan nan nan nan
2 130 469.1 Go 1 0 0 0 2 0 0 1 1 nan nan 439.5 455.5
2 131 472.5 Go 1 0 0 0 2 0 0 1 1 nan nan 526.6 478.4
2 132 475.7 Go 1 0 0 0 1 1 1 0 0 405.3 389.5 nan nan
2 133 478.9 Go 1 0 0 0 2 0 0 1 1 nan nan 459.4 459.4
2 134 482.2 Stop-left 3 320 0 0 1 1 1 0 0 498.3 498.3 nan nan
2 135 485.5 Go 1 0 0 0 1 1 1 0 0 413.9 413.9 nan nan
2 136 488.6 Go 1 0 0 0 2 0 0 1 1 nan nan 312.0 327.7
2 137 491.7 Go 1 0 0 0 1 1 1 0 0 476.6 476.6 nan nan
2 138 494.8 Go 1 0 0 0 2 0 0 1 1 nan nan 459.4 459.4
2 139 498.3 Go 1 0 0 0 1 1 1 0 0 290.7 290.7 nan nan
2 140 501.8 Stop-all 2 355 0 0 2 0 0 1 1 nan nan 316.7 316.7
2 141 505.0 Stop-right 4 285 0 0 2 0 0 1 1 nan nan 458.2 458.2
2 142 508.2 Stop-left 3 285 0 0 1 1 1 0 0 305.1 336.5 nan nan
2 143 511.6 Go 1 0 0 0 1 1 1 0 0 414.2 414.2 nan nan
2 144 515.1 Go 1 0 0 0 1 1 1 0 0 490.9 490.9 nan nan
3 145 519.5 Go 1 0 0 0 1 1 1 0 0 291.7 291.7 nan nan
3 146 523.0 Stop-all 2 320 0 0 2 0 0 1 1 nan nan 464.5 464.5
3 147 526.2 Stop-left 3 250 0 0 1 0 1 0 0 nan 566.2 nan nan
3 148 529.6 Go 1 0 0 0 1 1 1 0 0 487.4 487.4 nan nan
3 149 532.8 Go 1 0 0 0 2 0 0 1 1 nan nan 471.7 471.7
3 150 536.2 Stop-right 4 250 0 0 2 0 0 1 0 nan nan 591.3 nan
3 151 539.4 Go 1 0 0 0 2 0 0 1 1 nan nan 513.9 513.9
3 152 542.7 Go 1 0 0 0 1 1 1 0 0 420.2 420.2 nan nan
3 153 546.1 Stop-right 4 285 0 0 2 0 0 1 1 nan nan 313.2 313.2
3 154 549.2 Stop-left 3 285 0 0 2 0 0 0 1 nan nan nan 690.9
3 155 552.3 Go 1 0 0 0 2 0 0 1 1 nan nan 517.4 533.3
3 156 555.7 Go 1 0 0 0 1 1 1 0 0 479.3 479.3 nan nan
3 157 558.8 Stop-all 2 285 0 0 2 0 0 1 0 nan nan 481.2 nan
3 158 562.2 Go 1 0 0 0 2 0 0 1 1 nan nan 496.4 496.4
3 159 565.3 Go 1 0 0 0 2 0 0 1 1 nan nan 495.1 495.1
3 160 568.8 Go 1 0 0 0 1 1 1 0 0 509.8 509.8 nan nan
3 161 572.1 Go 1 0 0 0 1 1 1 0 0 489.9 489.9 nan nan
3 162 575.2 Stop-right 4 250 0 0 1 1 0 0 0 640.9 nan nan nan
3 163 578.6 Go 1 0 0 0 1 1 1 0 0 507.3 507.3 nan nan
3 164 582.0 Go 1 0 0 0 2 0 0 1 1 nan nan 486.5 486.5
3 165 585.0 Stop-right 4 285 0 0 1 1 1 0 0 371.5 371.5 nan nan
